KANT_start,KANT_end,start_kant_id,end_kant_id,X_start,Y_start,X_end,Y_end,route_id,Population,RegularMovers
Aakre Valga,Aakre Valga,1,1,627213.008798677,6440209.31365088,627213.008798677,6440209.31365088,1697,470,96
Aakre Valga,Annikoru Tartu,1,25,627213.008798677,6440209.31365088,634298.193716758,6461855.93781216,21178,470,1
Aakre Valga,Elva linn,1,49,627213.008798677,6440209.31365088,642136.014360787,6456562.83692973,41506,470,12
Aakre Valga,Elva ümbruse kant Tartu,1,50,627213.008798677,6440209.31365088,639265.501559962,6453031.6043608,42353,470,1
Aakre Valga,Hellenurme Valga,1,81,627213.008798677,6440209.31365088,640178.641901282,6447022.34053979,68610,470,2
Aakre Valga,Helme Valga,1,82,627213.008798677,6440209.31365088,611392.704776615,6429856.66892107,69457,470,2
Aakre Valga,Hummuli Valga,1,89,627213.008798677,6440209.31365088,619644.086140531,6418002.56618481,75386,470,2
Aakre Valga,Jõgeveste Valga,1,117,627213.008798677,6440209.31365088,617708.187558734,6430326.33312627,99102,470,3
Aakre Valga,Kehra linn,1,190,627213.008798677,6440209.31365088,575740.485497538,6578271.83340291,160933,470,1
Aakre Valga,Kesklinna linnaosa,1,845,627213.008798677,6440209.31365088,543405.459220458,6588250.78849127,714871,470,1
Aakre Valga,Kiili Harju,1,204,627213.008798677,6440209.31365088,547674.290315474,6575276.8934339,172791,470,1
Aakre Valga,Konguta Tartu,1,237,627213.008798677,6440209.31365088,636743.078033474,6456630.4962074,200742,470,1
Aakre Valga,Kuigatsi Valga,1,256,627213.008798677,6440209.31365088,632652.347204791,6431276.36918822,216835,470,9
Aakre Valga,Lasnamäe linnaosa,1,847,627213.008798677,6440209.31365088,548341.135208003,6588755.07427163,716565,470,1
Aakre Valga,Leebiku Valga,1,328,627213.008798677,6440209.31365088,616928.105476292,6439697.3998298,276972,470,3
Aakre Valga,Lohkva Tartu,1,351,627213.008798677,6440209.31365088,664732.889869944,6473621.05436976,296453,470,1
Aakre Valga,Luige Harju,1,360,627213.008798677,6440209.31365088,544512.94115617,6578183.7613368,304076,470,1
Aakre Valga,Luke Tartu,1,361,627213.008798677,6440209.31365088,649276.150246612,6458022.46844173,304923,470,1
Aakre Valga,Mustamäe linnaosa,1,842,627213.008798677,6440209.31365088,538422.923591128,6585222.09511421,712330,470,1
Aakre Valga,Mustla Viljandi,1,402,627213.008798677,6440209.31365088,607609.726556099,6455670.07815026,339650,470,1
Aakre Valga,Nõo Tartu,1,432,627213.008798677,6440209.31365088,650304.761588963,6461351.31469665,365060,470,3
Aakre Valga,Nõuni Valga,1,433,627213.008798677,6440209.31365088,647799.410512505,6445605.11146424,365907,470,1
Aakre Valga,Otepää linn,1,451,627213.008798677,6440209.31365088,646893.619321832,6437809.02659805,381153,470,3
Aakre Valga,Otepää Valga,1,452,627213.008798677,6440209.31365088,647153.129345161,6437845.21805959,382000,470,3
Aakre Valga,Paikuse Pärnu,1,459,627213.008798677,6440209.31365088,536556.982871222,6466605.9323021,387929,470,1
Aakre Valga,Palupera Valga,1,469,627213.008798677,6440209.31365088,637662.379154004,6443105.85755056,396399,470,7
Aakre Valga,Pikasilla Valga,1,493,627213.008798677,6440209.31365088,620348.640480408,6441633.23081213,416727,470,25
Aakre Valga,Puka Valga,1,515,627213.008798677,6440209.31365088,629654.751849597,6434821.51528411,435361,470,138
Aakre Valga,Põlva linn,1,523,627213.008798677,6440209.31365088,681216.429328809,6439583.71137453,442137,470,1
Aakre Valga,Rannu Tartu,1,552,627213.008798677,6440209.31365088,629161.536870181,6458280.46883119,466700,470,1
Aakre Valga,Rulli Valga,1,575,627213.008798677,6440209.31365088,619544.981412985,6436238.42482395,486181,470,7
Aakre Valga,Rõngu Tartu,1,579,627213.008798677,6440209.31365088,632067.794180937,6447812.28497961,489569,470,77
Aakre Valga,Sangaste Valga,1,603,627213.008798677,6440209.31365088,638703.820599255,6422369.30820659,509897,470,2
Aakre Valga,Sindi linn,1,623,627213.008798677,6440209.31365088,538210.44587444,6473537.14058953,526837,470,2
Aakre Valga,Suislepa Viljandi,1,633,627213.008798677,6440209.31365088,615430.892055948,6446950.11918308,535307,470,1
Aakre Valga,Tamsa Tartu,1,666,627213.008798677,6440209.31365088,645012.596927918,6452340.28708708,563258,470,1
Aakre Valga,Tartu linn,1,673,627213.008798677,6440209.31365088,659624.726363288,6473199.66059353,569187,470,26
Aakre Valga,Tsirguliina Valga,1,688,627213.008798677,6440209.31365088,628882.013687094,6416178.46149052,581892,470,1
Aakre Valga,Tõrva linn,1,702,627213.008798677,6440209.31365088,613856.789098756,6430526.54518759,593750,470,8
Aakre Valga,Valga linn,1,739,627213.008798677,6440209.31365088,623193.759906176,6405963.39687719,625089,470,4
Aakre Valga,Valguta Tartu,1,744,627213.008798677,6440209.31365088,626640.526675529,6450343.24621742,629324,470,4
Aakre Valga,Vellavere Tartu,1,772,627213.008798677,6440209.31365088,639673.652987557,6462560.74269829,653040,470,1
Aakre Valga,Vidrike Valga,1,778,627213.008798677,6440209.31365088,648199.949259565,6428504.44737932,658122,470,1
Aakre Valga,Viljandi linn,1,788,627213.008798677,6440209.31365088,593137.559151462,6469928.17101776,666592,470,1
Aakre Valga,Värska Põlva,1,827,627213.008798677,6440209.31365088,714783.670514635,6428903.57490259,699625,470,1
Aakre Valga,Õru Valga,1,833,627213.008798677,6440209.31365088,627647.829536534,6423045.32391862,704707,470,1
Aakre Valga,Ülenurme Tartu,1,839,627213.008798677,6440209.31365088,659202.938890576,6468463.21519799,709789,470,2
Aardla Tartu,Aardla Tartu,2,2,664206.080559745,6466176.45353372,664206.080559745,6466176.45353372,2545,1087,239
Aardla Tartu,Ahja Põlva,2,11,664206.080559745,6466176.45353372,679961.243459455,6455724.16991052,10168,1087,5
